policy_name,seed,total_events,accepted_events,acceptance_rate,accepted_mean_reward,ips_estimate,snips_estimate,effective_sample_size,item_a,item_b,n_pair_events
epsilon_greedy,0,272,143,0.5257352941176471,0.006993006993006993,0.29411764705882354,0.006993006993006993,143.0,41,50,272
epsilon_greedy,1,272,129,0.4742647058823529,0.007751937984496124,0.29411764705882354,0.007751937984496124,129.0,41,50,272
epsilon_greedy,2,272,139,0.5110294117647058,0.007194244604316547,0.29411764705882354,0.007194244604316547,139.0,41,50,272
epsilon_greedy,3,272,138,0.5073529411764706,0.007246376811594203,0.29411764705882354,0.007246376811594203,138.0,41,50,272
epsilon_greedy,4,272,134,0.49264705882352944,0.007462686567164179,0.29411764705882354,0.007462686567164179,134.0,41,50,272
epsilon_greedy,5,272,131,0.48161764705882354,0.007633587786259542,0.29411764705882354,0.007633587786259542,131.0,41,50,272
epsilon_greedy,6,272,134,0.49264705882352944,0.007462686567164179,0.29411764705882354,0.007462686567164179,134.0,41,50,272
epsilon_greedy,7,272,134,0.49264705882352944,0.007462686567164179,0.29411764705882354,0.007462686567164179,134.0,41,50,272
epsilon_greedy,8,272,136,0.5,0.007352941176470588,0.29411764705882354,0.007352941176470588,136.0,41,50,272
epsilon_greedy,9,272,138,0.5073529411764706,0.007246376811594203,0.29411764705882354,0.007246376811594203,138.0,41,50,272
fixed_ab,0,272,140,0.5147058823529411,0.014285714285714285,0.5882352941176471,0.014285714285714285,140.0,41,50,272
fixed_ab,1,272,115,0.4227941176470588,0.008695652173913044,0.29411764705882354,0.008695652173913044,115.0,41,50,272
fixed_ab,2,272,130,0.47794117647058826,0.007692307692307693,0.29411764705882354,0.007692307692307693,130.0,41,50,272
fixed_ab,3,272,145,0.5330882352941176,0.006896551724137931,0.29411764705882354,0.006896551724137931,145.0,41,50,272
fixed_ab,4,272,135,0.4963235294117647,0.007407407407407408,0.29411764705882354,0.007407407407407408,135.0,41,50,272
fixed_ab,5,272,132,0.4852941176470588,0.007575757575757576,0.29411764705882354,0.007575757575757576,132.0,41,50,272
fixed_ab,6,272,142,0.5220588235294118,0.014084507042253521,0.5882352941176471,0.014084507042253521,142.0,41,50,272
fixed_ab,7,272,138,0.5073529411764706,0.0,0.0,0.0,138.0,41,50,272
fixed_ab,8,272,131,0.48161764705882354,0.0,0.0,0.0,131.0,41,50,272
fixed_ab,9,272,130,0.47794117647058826,0.007692307692307693,0.29411764705882354,0.007692307692307693,130.0,41,50,272
thompson_sampling,0,272,132,0.4852941176470588,0.015151515151515152,0.5882352941176471,0.015151515151515152,132.0,41,50,272
thompson_sampling,1,272,129,0.4742647058823529,0.015503875968992248,0.5882352941176471,0.015503875968992248,129.0,41,50,272
thompson_sampling,2,272,121,0.44485294117647056,0.008264462809917356,0.29411764705882354,0.008264462809917356,121.0,41,50,272
thompson_sampling,3,272,136,0.5,0.0,0.0,0.0,136.0,41,50,272
thompson_sampling,4,272,141,0.5183823529411765,0.0070921985815602835,0.29411764705882354,0.0070921985815602835,141.0,41,50,272
thompson_sampling,5,272,129,0.4742647058823529,0.007751937984496124,0.29411764705882354,0.007751937984496124,129.0,41,50,272
thompson_sampling,6,272,151,0.5551470588235294,0.006622516556291391,0.29411764705882354,0.006622516556291391,151.0,41,50,272
thompson_sampling,7,272,128,0.47058823529411764,0.015625,0.5882352941176471,0.015625,128.0,41,50,272
thompson_sampling,8,272,129,0.4742647058823529,0.015503875968992248,0.5882352941176471,0.015503875968992248,129.0,41,50,272
thompson_sampling,9,272,133,0.4889705882352941,0.007518796992481203,0.29411764705882354,0.007518796992481203,133.0,41,50,272
ucb1,0,272,136,0.5,0.007352941176470588,0.29411764705882354,0.007352941176470588,136.0,41,50,272
ucb1,1,272,136,0.5,0.007352941176470588,0.29411764705882354,0.007352941176470588,136.0,41,50,272
ucb1,2,272,136,0.5,0.007352941176470588,0.29411764705882354,0.007352941176470588,136.0,41,50,272
ucb1,3,272,136,0.5,0.007352941176470588,0.29411764705882354,0.007352941176470588,136.0,41,50,272
ucb1,4,272,136,0.5,0.007352941176470588,0.29411764705882354,0.007352941176470588,136.0,41,50,272
ucb1,5,272,136,0.5,0.007352941176470588,0.29411764705882354,0.007352941176470588,136.0,41,50,272
ucb1,6,272,136,0.5,0.007352941176470588,0.29411764705882354,0.007352941176470588,136.0,41,50,272
ucb1,7,272,136,0.5,0.007352941176470588,0.29411764705882354,0.007352941176470588,136.0,41,50,272
ucb1,8,272,136,0.5,0.007352941176470588,0.29411764705882354,0.007352941176470588,136.0,41,50,272
ucb1,9,272,136,0.5,0.007352941176470588,0.29411764705882354,0.007352941176470588,136.0,41,50,272
